user_name,fio,total_operations,total_summa,summa_csv,raznica,raznica_pct
A.Artamonov,,,,150.0,,
USER0001,,,,0.0,,
USER0002,,,,0.0,,
USER1159,,,,110.0,,
USER1199,,,,137.0,,
USER1209,,,,22.0,,
USER1215,,,,110.0,,
USER1237,,,,144.0,,
USER1254,,,,144.0,,
USER1269,,,,144.0,,
USER1283,,,,144.0,,
USER1285,,,,88.0,,
USER1286,,,,88.0,,
USER1297,,,,110.0,,
USER1313,,,,122.0,,
USER1316,,,,110.0,,
USER1319,,,,137.0,,
USER1322,,,,110.0,,
USER1324,,,,110.0,,
USER2249,,,,144.0,,
USER2269,,,,144.0,,
USER2285,,,,156.0,,
USER2288,,,,133.0,,
USER2314,,,,110.0,,
USER2324,,,,159.0,,
USER2325,,,,112.0,,
USER2334,,,,110.0,,
USER2348,,,,127.0,,
USER2349,,,,96.0,,
USER2354,,,,68.0,,
USER2358,,,,55.0,,
USER2359,,,,110.0,,
USER2361,,,,22.0,,
USER2365,,,,156.0,,
USER2366,,,,88.0,,
USER3125,,,,70.0,,
a.boikov,,,,90.0,,
a.manokhin,,,,132.0,,
a.pechenkin,,,,88.0,,
a.rudenko,,,,102.0,,
a.safronov,,,,144.0,,
a.savitskiy,,,,110.0,,
d.mavrin,,,,44.0,,
ds.ivanov,,,,156.0,,
e.ulishchenko,,,,144.0,,
m.a.simonov,,,,110.0,,
m.alekseev,,,,55.0,,
n.bezrukov,,,,55.0,,
n.vesnin,,,,110.0,,
nan,,,,6529.0,,
o.ivanov,,,,144.0,,
p.pisarenko,,,,110.0,,
r.sagaidak,,,,132.0,,
r.sorokin,,,,138.0,,
s.novak,,,,146.0,,
user1279,,,,135.0,,
user1281,,,,110.0,,
user2345,,,,88.0,,
v.kurtukov,,,,156.0,,
v.nikolaev,,,,44.0,,
v.plevako,,,,146.0,,
